CODISTR        	DESCRIZ                            	GIACONT	 PROGCAR	 PROGSCA	GIADIN	     COSTO	  PREZZO_1	ULTVEN  	ULTCAR  	CODICE	   SCMIN
BAU5023        	TAVOLO+SEDIA+PANCA                 	      2	       0	       0	     2	     24.85	     56.81	  /  /  	10/09/01	P244  	49000090
BAY19585       	CARROZZINA COMBI 80 CM.            	      3	       0	       1	     2	     61.31	    123.43	05/01/02	29/09/01	V690  	55214018
BIG0717        	TRATTORE C/PALA BIG JOHN           	      1	       0	       1	     0	     59.13	    118.27	30/03/02	07/11/01	S859  	70474034
BIO83401       	CAMERA BAMBINI C/ACCESS.           	      0	       0	       0	     0	      6.12	     14.72	18/12/01	05/06/01	V614  	46270029
BIO83402       	BAGNO X CASA BAMBOLA C/ACC.        	      0	       0	       0	     0	      4.96	     12.14	18/12/01	05/06/01	V615  	46270045
BIO83404       	CAMERA LETTO LEGNO C/ACC.X CASA BA.	      1	       0	       0	     1	      6.12	     14.72	  /  /  	05/06/01	V608  	46260007
BIO83405       	CUCINA C/ACC.X CASA BAMB.          	      0	       0	       0	     0	      6.12	     14.72	18/12/01	05/06/01	V612  	46260040
BIO83540       	FAMIGLIA COMP.X CASA BAMB.4 PERSON 	      0	       0	       0	     0	      3.37	      7.70	01/12/01	10/09/01	V605  	46190785
BLZ52210       	TROTTOLA 23 CM.ORSI+LEPRE          	      3	       0	       3	     0	      7.86	     17.56	08/03/02	10/09/01	P661  	68230004
BLZ52310       	TROTTOLA MET.WTP MUSICALE          	      1	       0	       1	     0	      5.43	     12.39	02/02/02	07/11/01	P197  	68220084
BLZ52720       	SCATOLE MUSICALI                   	      5	       0	       4	     1	      2.05	      5.68	22/03/02	29/09/01	D510  	68211026
CHI68478       	SCIVOLO CAROTA                     	      0	       2	       2	     0	     28.09	     59.90	26/07/02	28/03/02	S537  	71691144
CLE31403       	PUZZLE 1000 PZ.WEELTGER            	      0	       0	       0	     0	      6.31	     14.20	16/10/01	05/07/01	G053  	61380345
CLE31411       	PUZZLE 1000 PZ.FEMME A L'OMBRE     	      0	       0	       0	     0	      6.31	     14.20	22/12/01	05/07/01	G080  	61380353
CLE31413       	PUZZLE 1000PZ.MONNA LISA           	      1	       0	       0	     1	      6.31	     14.20	21/12/01	05/07/01	G097  	61380361
CLE31415       	PUZZLE 1000 PZ.VASO FIORI          	      1	       0	       0	     1	      6.31	     14.20	  /  /  	05/07/01	G106  	61380370
CLE31418       	PUZZLE 1000 PZ.VERMER LA MERLETTAIA	      1	       0	       0	     1	      6.18	     14.20	  /  /  	01/08/01	G337  	61380388
CLE31426       	PUZZLE 1000PZ MIRO ARLECCHINO      	      0	       0	       0	     0	      6.31	     14.20	20/12/01	05/07/01	G129  	61380493
